key,alt,answer,audio
白人,"báirén (白人, 白人)","whity, Caucasian, whitey, white man, buckra, white people, griffin, White, white race, haole, honky, gryphon, white person, white_man, paleface",top9/1.mp3
獎章,"jiǎngzhāng (獎章, 奖章)","medal, decoration",top9/2.mp3
用餐,"yòngcān (用餐, 用餐)","feed, dine, sup, eat a meal, have a meal",top9/3.mp3
機密,"jīmì (機密, 机密)",top secret,top9/4.mp3
一大早,"yīdàzǎo (一大早, 一大早)",at dawn,top9/5.mp3
不得已,"bùdéyǐ (不得已, 不得已)",have no alternative,top9/6.mp3
本性,"běnxìng (本性, 本性)","suchness, conscience, instinct, essentiality, mettle, inbeing, nature, self, natural disposition, natural character, sense, natural instincts, inwardness, interior, inherent quality",top9/7.mp3
大專院校,"dàzhuānyuànxiào (大專院校, 大专院校)",community colleges,top9/8.mp3
史語所,"shǐyǔsuǒ (史語所, 史语所)",Institute of History and Philology,top9/9.mp3
黨員,"dǎngyuán (黨員, 党员)",Party member,top9/10.mp3
點點,"diǎndiǎn (點點, 点点)",det.: a tiny bit,top9/11.mp3
人手,"rénshǒu (人手, 人手)","hired man, manpower, hired hand, hand",top9/12.mp3
總體,"zǒngtǐ (總體, 总体)","population, gross, entirety, macrocosm, ensemble, wholeness, collectivity, totality, oneness, whole, universe",top9/13.mp3
認,"rèn (認, 认)","recognize,  know,  enter into a certain relationship with,  admit,  own up,  accept as unavoidable,  undertake to do sth.",top9/14.mp3
操,"cāo (操, 操)","grasp, hold",top9/15.mp3
關係,"guānxì (關係, 关系)","concern, affect, to matter",top9/16.mp3
甄選,"zhēnxuǎn (甄選, 甄选)","select, pick",top9/17.mp3
蔓延,"mànyán (蔓延, 蔓延)","spread out, extend",top9/18.mp3
奪得,"duódé (奪得, 夺得)","strive for, contend for, compete for, carry off",top9/19.mp3
云,"yún (云, 云)",say,top9/20.mp3
遠東,"yuǎndōng (遠東, 远东)",Far East,top9/21.mp3
調高,"tiáogāo (調高, 调高)",transfer sth. to higher agency,top9/22.mp3
隨地,"suídì (隨地, 随地)","anyplace, everywhere, anywhere",top9/23.mp3
弊端,"bìduān (弊端, 弊端)","rigging, irregularity, malpractice, disadvantage, corrupt practice, abuse",top9/24.mp3
積分,"jīfēn (積分, 积分)","integration, score, integral calculus, integral_calculus, integral, total credits earned by student",top9/25.mp3
課堂,"kètáng (課堂, 课堂)",classroom,top9/26.mp3
蒙古,"ménggǔ (蒙古, 蒙古)",Mongolia,top9/27.mp3
摘,"zhé (摘, 摘)","pick, pluck, make extracts",top9/28.mp3
歐洲人,"ōuzhōurén (歐洲人, 欧洲人)",European,top9/29.mp3
燈具,"dēngjù (燈具, 灯具)",lamps and lanterns,top9/30.mp3
勞保,"láobǎo (勞保, 劳保)",labor insurance,top9/31.mp3
買進,"mǎijìn (買進, 买进)","buy, purchase",top9/32.mp3
意識到,"yìshìdào (意識到, 意识到)","smell, be conscious, be aware of, sense, aware of, awake to, appreciate, be conscious of, realize, be conscious/aware of",top9/33.mp3
渴望,"kěwàng (渴望, 渴望)",thirst/long for,top9/34.mp3
麥克風,"màikèfēng (麥克風, 麦克风)","microphone, mike",top9/35.mp3
發放,"fāfàng (發放, 发放)","provide, grant, extend",top9/36.mp3
節點,"jiédiǎn (節點, 节点)","knob, knot, node",top9/37.mp3
違建,"wéijiàn (違建, 违建)",non conforming building,top9/38.mp3
農田,"nóngtián (農田, 农田)","country, farming area, farmland, soil, cultivated land, cropland",top9/39.mp3
遊覽車,"yóulǎnchē (遊覽車, 遊览车)","charabanc, coach, tourist coach, tourer",top9/40.mp3
接待,"jiēdài (接待, 接待)","receive guests , serve customers",top9/41.mp3
軸,"zhóu (軸, 轴)","axle, shaft, axis, spool, rod",top9/42.mp3
標竿,"biāogān (標竿, 标竿)",surveyor's pole,top9/43.mp3
載入,"zàirù (載入, 载入)","load, enter into, record in",top9/44.mp3
要緊,"yàojǐn (要緊, 要紧)","be in a hurry to, serious, critical, essential, weigh, be anxious to, count, signify, important, matter",top9/45.mp3
訂購,"dìnggòu (訂購, 订购)",order goods,top9/46.mp3
前方,"qiánfāng (前方, 前方)","front_line,  war front, ahead, front direction, front, the front",top9/47.mp3
軍官,"jūnguān (軍官, 军官)","wardroom, officer, military officer, military_officer, striper, officiary",top9/48.mp3
烈,"liè (烈, 烈)","strong, violent, intense",top9/49.mp3
保送,"bǎosòng (保送, 保送)",recommend sb. for admission to school/etc.,top9/50.mp3
美妙,"měimiào (美妙, 美妙)","beautiful, splendid, wonderful",top9/51.mp3
哈佛,"hāfó (哈佛, 哈佛)",Harvard,top9/52.mp3
東區,"dōngqū (東區, 东区)",Eastern area,top9/53.mp3
保費,"bǎofèi (保費, 保费)","insurance premium, premium, insurance fee",top9/54.mp3
近代史,"jìndàishǐ (近代史, 近代史)",modern history,top9/55.mp3
相通,"xiāngtōng (相通, 相通)","communicate, intercommunicate, communicate with each other, be interlinked",top9/56.mp3
怨,"yuàn (怨, 怨)","blame, reproach, reprove",top9/57.mp3
相對於,"xiāngduìyú (相對於, 相对于)",relative,top9/58.mp3
恰好,"qiàhǎo (恰好, 恰好)","exactly, just right",top9/59.mp3
乘坐,"chéngzuò (乘坐, 乘坐)",travel by a conveyance,top9/60.mp3
受損,"shòusǔn (受損, 受损)","suffer loss, go, damage from",top9/61.mp3
祈求,"qíqiú (祈求, 祈求)","call_down, invoke, plead, petition, earnestly hope, may, pray for, supplicate, adjure, pray",top9/62.mp3
立,"lì (立, 立)","stand, exist, live",top9/63.mp3
佛法,"fófǎ (佛法, 佛法)","Buddha dharma, Buddhist doctrine, power of Buddha",top9/64.mp3
弦,"xián (弦, 弦)","spring of watch, string, quarter, string of musical instrument, etc. , catling, chord, quadrature, bowstring, spring of watch/etc.",top9/65.mp3
汗,"hàn (汗, 汗)","sudor, khan, sweat, lather, perspiration",top9/66.mp3
作成,"zuòchéng (作成, 作成)","help, consummate, successfully complete, compose",top9/67.mp3
法治,"fǎzhì (法治, 法治)","constitutionality, rule of law, law",top9/68.mp3
成年,"chéngnián (成年, 成年)","grow up, come of age",top9/69.mp3
非凡,"fēifán (非凡, 非凡)","outstanding, extraordinary, uncommon",top9/70.mp3
白雪,"báixuě (白雪, 白雪)",white snow,top9/71.mp3
肺,"fèi (肺, 肺)",lungs,top9/72.mp3
官司,"guānsī (官司, 官司)",lawsuit,top9/73.mp3
樹幹,"shùgàn (樹幹, 树干)","shaft, tree_trunk, trunk, stock, bole, tree trunk",top9/74.mp3
拜託,"bàituō (拜託, 拜托)",request sb. to do sth.,top9/75.mp3
比對,"bǐduì (比對, 比对)",map,top9/76.mp3
山東,"shāndōng (山東, 山东)","Shantung, Shandong province, Shandong",top9/77.mp3
加值,"jiāzhí (加值, 加值)",add value,top9/78.mp3
水分,"shuǐfèn (水分, 水分)","moisture, inprecision, humidity, wet, moisture content, exaggeration",top9/79.mp3
左邊,"zuǒbiān (左邊, 左边)","portside, nearside, the left hand side, the left side, left, the left, left side",top9/80.mp3
史前,"shǐqián (史前, 史前)",prehistoric era,top9/81.mp3
台中縣,"táizhōngxiàn (台中縣, 台中县)",Taichung County,top9/82.mp3
敲,"qiāo (敲, 敲)","strike, beat drum/etc.",top9/83.mp3
水土,"shuǐtǔ (水土, 水土)","natural environment and climate, climate, water and soil",top9/84.mp3
幕僚,"mùliáo (幕僚, 幕僚)","aides and staff, assistant to high official/general",top9/85.mp3
鞏固,"gǒnggù (鞏固, 巩固)","consolidate, strengthen, solidify",top9/86.mp3
演習,"yǎnxí (演習, 演习)","maneuver, exercise, drill, practice",top9/87.mp3
福特,"fútè (福特, 福特)",Ford,top9/88.mp3
調,"tiáo (調, 调)","regulate, adjust, mediate",top9/89.mp3
賠,"péi (賠, 赔)","compensate, pay for, stand a loss",top9/90.mp3
出動,"chūdòng (出動, 出动)","start_out, set out, dispatch, start off, send out",top9/91.mp3
覆蓋,"fùgài (覆蓋, 覆盖)","plate, enshroud, cap, overlay, deluge, inundate, bestrew, steep, blanket, bespread, superimpose, clothe, clot, submerge, muffle, shroud, face, spread, shadow, drape, overflow, spread over, mantle, cover, sheathe, smother, coat, hood, lap, enclothe",top9/92.mp3
點心,"diǎnxīn (點心, 点心)","collation, snack, refreshment, refection, dimsum, pastry, light refreshments",top9/93.mp3
舉凡,"jǔfán (舉凡, 举凡)",conj.: whatever,top9/94.mp3
響應,"xiǎngyìng (響應, 响应)","respond,  answer",top9/95.mp3
聯誼,"liányí (聯誼, 联谊)",socialize,top9/96.mp3
職責,"zhízé (職責, 职责)","department, responsibility, function, incumbency, office, charge, province, duty, obligation, role",top9/97.mp3
謊言,"huǎngyán (謊言, 谎言)","tarradiddle, lie, inveracity, false statement, taradiddle, squib, falsehood, falsity, story, prevarication, fib, fairy tale, crammer, fibbery, leasing, flam, untruth, tale, unveracity, fabrication",top9/98.mp3
人類學,"rénlèixué (人類學, 人类学)","physical_anthropology, Pithecanthropus, humanics, anthropology",top9/99.mp3
手足,"shǒuzú (手足, 手足)",brothers,top9/100.mp3
會報,"huìbào (會報, 会报)","proceeding, transactions",top9/101.mp3
主講,"zhǔjiǎng (主講, 主讲)","be the speaker, give a lecture",top9/102.mp3
刀子,"dāozi5 (刀子, 刀子)","knife, pocketknife, dagger, small knife",top9/103.mp3
北平,"běipíng (北平, 北平)","Beiping, Peking, Peiping",top9/104.mp3
古物,"gǔwù (古物, 古物)","ancient objects, antiquities",top9/105.mp3
天使,"tiānshǐ (天使, 天使)","intelligence, angel, angelic, nimbus, spirit",top9/106.mp3
大哥大,"dàgēdà (大哥大, 大哥大)","hand phone, man with power, rich person, cellular telephone, super boss, cellular_phone, portable, walkie talkie, boss, mobile phone, portable/cellular telephone, godfather, powerful person, portable telephone, rich/powerful person",top9/107.mp3
四肢,"sìzhī (四肢, 四肢)","arms and legs, extremity, four limbs",top9/108.mp3
情意,"qíngyì (情意, 情意)","tender regards, affection",top9/109.mp3
液晶,"yìjīng (液晶, 液晶)",liquid crystal,top9/110.mp3
陪伴,"péibàn (陪伴, 陪伴)","accompany, keep sb. company",top9/111.mp3
陳述,"chénshù (陳述, 陈述)",state,top9/112.mp3
莫不,"mòbù (莫不, 莫不)",there's no one who doesn't/isn't,top9/113.mp3
陸軍,"lùjūn (陸軍, 陆军)","ground force, army, ground, ground/land force, land force",top9/114.mp3
聲稱,"shēngchēng (聲稱, 声称)","avouch, claim, assertion, purport, hold, profession, allege, represent, avow, declare, confess, announce, assert, say, aver, profess",top9/115.mp3
追趕,"zhuīgǎn (追趕, 追赶)","chase after, pursue",top9/116.mp3
教化,"jiàohuà (教化, 教化)",enlighten people by education,top9/117.mp3
細則,"xìzé (細則, 细则)",detailed rules and regulations,top9/118.mp3
累計,"lěijì (累計, 累计)",add up,top9/119.mp3
處,"chǔ (處, 处)","punish, sentence",top9/120.mp3
動植物,"dòngzhíwù (動植物, 动植物)",animal and plant,top9/121.mp3
長年,"chángnián (長年, 长年)",all year around,top9/122.mp3
封閉,"fēngbì (封閉, 封闭)","seal, seal off, close",top9/123.mp3
桶,"tǒng (桶, 桶)",m.[container],top9/124.mp3
透視,"tòushì (透視, 透视)",perspective,top9/125.mp3
急,"jí (急, 急)","impatiently, anxiously, rapidly, urgently",top9/126.mp3
賊,"zéi (賊, 贼)",thief,top9/127.mp3
毀滅,"huǐmiè (毀滅, 毁灭)","destroy, exterminate",top9/128.mp3
殘障者,"cánzhàngzhě (殘障者, 残障者)","disabled, handicapped person, cripple",top9/129.mp3
詩歌,"shīgē (詩歌, 诗歌)","ode, verse, poetic, strain, rhyme, song, poems and songs, poetry, Parnassus",top9/130.mp3
落成,"luòchéng (落成, 落成)",be completed of a building/etc.,top9/131.mp3
幾,"jī (幾, 几)","almost, nearly",top9/132.mp3
貧困,"pínkùn (貧困, 贫困)","poor, impoverished",top9/133.mp3
募款,"mùkuǎn (募款, 募款)",raise money,top9/134.mp3
停下來,"tíngxiàlái (停下來, 停下来)",stop,top9/135.mp3
晚飯,"wǎnfàn (晚飯, 晚饭)","supper, dinner",top9/136.mp3
祕密,"mìmì (祕密, 祕密)","confidential, sly, darkness, stealth, confidentiality, privacy, penetralia, huggermugger, arcanum, hugger muggery, secrecy, secret",top9/137.mp3
記住,"jìzhù (記住, 记住)","remember, learn by heart, bear in mind",top9/138.mp3
剪,"jiǎn (剪, 剪)","wipe out, exterminate, cut with scissors , clip, trim",top9/139.mp3
