key,alt,answer,audio
文藝,"wényì (文藝, 文艺)",literature and art,top7/1.mp3
沿途,"yántú (沿途, 沿途)","on the way,throughout a journey",top7/2.mp3
招待,"zhāodài (招待, 招待)","receive guests ,serve customers",top7/3.mp3
架設,"jiàshè (架設, 架设)",erect on stilts/posts,top7/4.mp3
長官,"zhǎngguān (長官, 长官)","official,principal,senior,superordinate,chief,commanding official,prefect,senior officer,president,higher up,magistrate,ephor,superior,superintendent,commanding officer,director,governor,syndic,senior/commanding officer/official,chancellor",top7/5.mp3
師傅,"shīfù (師傅, 师傅)","emperor,tutor of king,tutor of emperor,professional,address for service workers,master,general term of address in late 7 0 s an,general term of address in late 70s and 80s,master worker,tutor of king/emperor",top7/6.mp3
哲學家,"zhéxuéjiā (哲學家, 哲学家)",philosopher,top7/7.mp3
夏威夷,"xiàwēiyí (夏威夷, 夏威夷)","Aloha State,Hawaii,Hawai'i,HI",top7/8.mp3
放置,"fàngzhì (放置, 放置)","dispose,feed,set,locate,go,plant,pose,sit,lay,stick,shove,repose,bestow,sock,lay aside,perch,put,position,deposit,depose,get,lay up,mount,place,localize",top7/9.mp3
沈重,"chénzhòng (沈重, 沈重)","heavy,serious",top7/10.mp3
泥土,"nítǔ (泥土, 泥土)","dirt,muck,earth,marl,soil,soli,clay,clart",top7/11.mp3
卷,"juàn (卷, 卷)","volume,coil,furl,roll,spool,documents,m.[general],,part,data file,tome,reel,book,examination paper,cylindrical mass of something,file,dossier",top7/12.mp3
自我,"zìwǒ (自我, 自我)",stick to one's own way of doing things,top7/13.mp3
見解,"jiànjiě (見解, 见解)","eyeshot,view,horizon,understanding,outlook,light,eyes,spectacle,judgment,sentiment,eyesight,opinion,thought,sight,standpoint,bet,hypothesis,eye,viewpoint,theory,possibility,judgement,slant,doxy,purview,ruling,thinking,supposal,position,persuasion,mind",top7/14.mp3
定期,"dìngqí (定期, 定期)","periodical,regular",top7/15.mp3
推銷,"tuīxiāo (推銷, 推销)","promote sale of,peddle",top7/16.mp3
里長,"lǐzhǎng (里長, 里长)","head of a neighborhood of 25 families,precinct head",top7/17.mp3
善良,"shànliáng (善良, 善良)","good and kind,decent",top7/18.mp3
餘,"yū (餘, 余)","det.: odd,plus",top7/19.mp3
遺跡,"yíjī (遺跡, 遗迹)","traces,site,hangover,remains,shadow,vestigium,relic,historical remains,vestiges,trace,vestige,monument,remnant",top7/20.mp3
演說,"yǎnshuō (演說, 演说)","speech,address",top7/21.mp3
稅,"shuì (稅, 税)","droit,tax,geld,due,scot,exaction,capital levy,gabelle,duty,taxation,revenue enhancement",top7/22.mp3
經銷,"jīngxiāo (經銷, 经销)","sell on commission,sell",top7/23.mp3
遊樂,"yóulè (遊樂, 遊乐)","amuse oneself,have fun",top7/24.mp3
麻醉,"mázuì (麻醉, 麻醉)","anesthesize,poison,drug",top7/25.mp3
評審,"píngshěn (評審, 评审)","judge,referee,umpire",top7/26.mp3
董事會,"dǒngshìhuì (董事會, 董事会)","board,board of directors,board of administration,syndicate,directorate,board of regents,board of trustees,board_of_directors,directory",top7/27.mp3
病情,"bìngqíng (病情, 病情)",patient's condition,top7/28.mp3
數位,"shùwèi (數位, 数位)",digital,top7/29.mp3
勇於,"yǒngyú (勇於, 勇于)","be bold in,have the courage to,have courage to,be brave in",top7/30.mp3
商量,"shāngliáng (商量, 商量)","talk,consult,arrange,confer,talk over,discussion,advise,discuss,concert",top7/31.mp3
繁華,"fánhuá (繁華, 繁华)","flourishing,bustling,busy",top7/32.mp3
章程,"zhāngchéng (章程, 章程)","constitution,rules,charter,rule,regulation,code,regulations,solution,statute,law,contract,procedure,way,memorandum,prospectus",top7/33.mp3
清新,"qīngxīn (清新, 清新)","pure and fresh,refreshing of style/fashion/etc.",top7/34.mp3
強人,"qiángrén (強人, 强人)","Big Brother,strong man,strongman,big_brother,highwaymen,robbers,powerful person",top7/35.mp3
降價,"jiàngjià (降價, 降价)",lower prices,top7/36.mp3
哪兒,"nǎér (哪兒, 哪儿)",where,top7/37.mp3
致使,"zhìshǐ (致使, 致使)","become,render,go,get,result in,cause,make",top7/38.mp3
內外,"nèiwài (內外, 内外)","inside and outside, domestic and foreign",top7/39.mp3
明明,"míngmíng (明明, 明明)","obviously,plainly",top7/40.mp3
院方,"yuànfāng (院方, 院方)",hospital authorities,top7/41.mp3
員警,"yuánjǐng (員警, 员警)",policeman,top7/42.mp3
金門,"jīnmén (金門, 金门)","Chinmen,Kinmen County in Taiwan",top7/43.mp3
耶穌,"yēsū (耶穌, 耶稣)","Galilean,Jesus,cross",top7/44.mp3
倒,"dǎo (倒, 倒)","fall over,topple,collapse",top7/45.mp3
收拾,"shōushí (收拾, 收拾)","put in order,tidy up",top7/46.mp3
自覺,"zìjué (自覺, 自觉)",be conscious/aware,top7/47.mp3
形,"xíng (形, 形)","form,shape,body,entity",top7/48.mp3
老板,"lǎobǎn (老板, 老板)","proprietor,chief,shopkeeper,Tuan,baas,honcho,hirer,storekeeper,milord,mugwump,cit,market keeper,buckra,governor,boss,joss,tradesman,employer,guv",top7/49.mp3
老年,"lǎonián (老年, 老年)","senescence,caducity,senility,old_age,agedness,hoariness,age,old age",top7/50.mp3
候鳥,"hòuniǎo (候鳥, 候鸟)","visitant,bird of passage,bird_of_passage,migrator,migrant,migratory bird,visitor",top7/51.mp3
踢,"tī (踢, 踢)","shin,spurn,drop kick,prick,boot,kick,toe,dropkick,play,lunge,punt",top7/52.mp3
反覆,"fǎnfù (反覆, 反复)","repeatedly,backward_and_forward",top7/53.mp3
力氣,"lìqì (力氣, 力气)","physical strength, effort",top7/54.mp3
不法,"bùfǎ (不法, 不法)","lawless, illegal",top7/55.mp3
不惜,"bùxí (不惜, 不惜)","not stint, not hesitate to do sth.",top7/56.mp3
營收,"yíngshōu (營收, 营收)",income of business,top7/57.mp3
福建,"fújiàn (福建, 福建)","Fujian,Fujian province ,Fukien",top7/58.mp3
寬廣,"kuānguǎng (寬廣, 宽广)","wide,vast,extensive,broad",top7/59.mp3
總和,"zǒnghé (總和, 总和)","sum,total,sum total",top7/60.mp3
瓶頸,"píngjǐng (瓶頸, 瓶颈)",bottleneck,top7/61.mp3
縣政府,"xiànzhèngfǔ (縣政府, 县政府)",county government,top7/62.mp3
通,"tōng (通, 通)",m.[event],top7/63.mp3
盡力,"jìnlì (盡力, 尽力)","do_one's_best,do all one can,render,take pains,be at pains,take_pains,stretch,strain,strive,try one's best",top7/64.mp3
減肥,"jiǎnféi (減肥, 减肥)",lose weight,top7/65.mp3
等候,"děnghòu (等候, 等候)","hold back,wait,look,expect,abide,await,hold off,tarry,expectation,hang_on",top7/66.mp3
圍牆,"wéiqiáng (圍牆, 围墙)",enclosing wall,top7/67.mp3
隊員,"duìyuán (隊員, 队员)",team member,top7/68.mp3
農曆,"nónglì (農曆, 农历)","farmer's_calendar,lunar calendar,lunar_calendar",top7/69.mp3
電玩,"diànwán (電玩, 电玩)",computer game,top7/70.mp3
增添,"zēngtiān (增添, 增添)","increase,accession,throw in,point_up,add,subjoin,addition,lend",top7/71.mp3
擴展,"kuòzhǎn (擴展, 扩展)","expand,spread,extend",top7/72.mp3
心理學,"xīnlǐxué (心理學, 心理学)",psychology,top7/73.mp3
鎮,"zhèn (鎮, 镇)","town,garrison post,trading center",top7/74.mp3
齣,"chū (齣, 齣)","play,m.[event],",top7/75.mp3
輿論,"yūlùn (輿論, 舆论)","sense,vox_populi,popular opinion,public opinion,opinion,public_opinion,consensus,vox populi",top7/76.mp3
編輯,"biānjí (編輯, 编辑)","editor,compiler",top7/77.mp3
發電,"fādiàn (發電, 发电)","electricity generation,generate electricity",top7/78.mp3
創造出,"chuàngzàochū (創造出, 创造出)",create,top7/79.mp3
悲哀,"bēiāi (悲哀, 悲哀)","grieved,sorrowful",top7/80.mp3
義賣,"yìmài (義賣, 义卖)",sell something for public welfare,top7/81.mp3
悲觀,"bēiguān (悲觀, 悲观)",pessimistic,top7/82.mp3
裝置,"zhuāngzhì (裝置, 装置)","install,fit",top7/83.mp3
買賣,"mǎimài (買賣, 买卖)","buying and selling,business deal/transaction, small merchant enterprise",top7/84.mp3
管教,"guǎnjiào (管教, 管教)","subject sb. to discipline,restrain and instruct",top7/85.mp3
靜,"jìng (靜, 静)","still,quiet,calm",top7/86.mp3
新知,"xīnzhī (新知, 新知)",new knowledge/learning,top7/87.mp3
舞會,"wǔhuì (舞會, 舞会)","kickup,fandango,ball,debut,dance,promenade,dance party ,shindig,prom",top7/88.mp3
寢室,"qǐnshì (寢室, 寝室)","bedchamber,sleeping room,roost,chamber,dormitory,bower,lying,bedroom",top7/89.mp3
遴選,"línxuǎn (遴選, 遴选)",select sb. for a post,top7/90.mp3
廣東,"guǎngdōng (廣東, 广东)","Kwangtung,Guangdong,Guangdong province",top7/91.mp3
檢察官,"jiǎncháguān (檢察官, 检察官)",public prosecutor,top7/92.mp3
予,"yǔ (予, 予)",give,top7/93.mp3
手臂,"shǒubì (手臂, 手臂)",arm,top7/94.mp3
一家人,"yìjiārén (一家人, 一家人)",house,top7/95.mp3
心頭,"xīntóu (心頭, 心头)","mind, heart",top7/96.mp3
土壤,"tǔrǎng (土壤, 土壤)",soil,top7/97.mp3
大廳,"dàtīng (大廳, 大厅)","big/main hall, parlor",top7/98.mp3
檢索,"jiǎnsuǒ (檢索, 检索)","retrieve,research",top7/99.mp3
南北,"nánběi (南北, 南北)","north and south,from east to west,north south",top7/100.mp3
懷孕,"huáiyùn (懷孕, 怀孕)","gravid,expect,in a family way,with child,pregnant,be pregnant,gestate,impregnate,carry,bear,carry to term,be expecting,conceive",top7/101.mp3
顧,"gù (顧, 顾)","turn round and look at,attend to,look after,take into consideration,visit,call on",top7/102.mp3
醫藥,"yīyào (醫藥, 医药)","medicament,medicine,curative,medication,remedy,physic",top7/103.mp3
印刷,"yìnshuā (印刷, 印刷)",print,top7/104.mp3
志願,"zhìyuàn (志願, 志愿)","aspiration,wish,ideal",top7/105.mp3
列,"liè (列, 列)","arrange,line up,list,enter in a list",top7/106.mp3
肝,"gān (肝, 肝)","hepatic,liver",top7/107.mp3
替代,"tìdài (替代, 替代)","replace,supervene upon,replacement,supersede,substitute for,alternate,substitute,supersession,displace,supplant",top7/108.mp3
使命,"shǐmìng (使命, 使命)","vocation,calling,military mission,mission,embassy,errand",top7/109.mp3
惡劣,"èliè (惡劣, 恶劣)","vile,nasty",top7/110.mp3
研判,"yánpàn (研判, 研判)",infer,top7/111.mp3
長遠,"chángyuǎn (長遠, 长远)","long range,long,long term,far reaching",top7/112.mp3
葉子,"yèzi5 (葉子, 叶子)","foliage,frond,leafage,leaf,leave",top7/113.mp3
男士,"nánshì (男士, 男士)","gent,man,men,menfolk",top7/114.mp3
郊區,"jiāoqū (郊區, 郊区)","suburban district,outskirts",top7/115.mp3
準備好,"zhǔnbèihǎo (準備好, 准备好)",get ready,top7/116.mp3
祭典,"jìdiǎn (祭典, 祭典)","memorial services,fiesta,sacrificial rites",top7/117.mp3
脫,"tuō (脫, 脱)","cast/come off,shed,take off,escape from",top7/118.mp3
情事,"qíngshì (情事, 情事)","affair,matter,thing,business",top7/119.mp3
理,"lǐ (理, 理)","take notice of,pay attention to",top7/120.mp3
持股,"chígǔ (持股, 持股)",own stock,top7/121.mp3
面,"miàn (面, 面)","entire area as opposed to particular points ,surface,top,cover,face",top7/122.mp3
油價,"yóujià (油價, 油价)",oil/gasoline/petrol price,top7/123.mp3
眾,"zhòng (眾, 众)",every,top7/124.mp3
祇,"zhǐ (祇, 祇)",only,top7/125.mp3
寶貝,"bǎobèi (寶貝, 宝贝)","treasured object,treasure,darling,baby,cowry,good for nothing,odd character",top7/126.mp3
可行性,"kěxíngxìng (可行性, 可行性)",feasibility,top7/127.mp3
平行,"píngxíng (平行, 平行)","of equal rank,parallel,simultaneous",top7/128.mp3
手腳,"shǒujiǎo (手腳, 手脚)","hand and foot, motions of hands/feet , underhand method, trick",top7/129.mp3
主機板,"zhǔjībǎn (主機板, 主机板)",mother_board,top7/130.mp3
寶,"bǎo (寶, 宝)",treasure,top7/131.mp3
山水,"shānshuǐ (山水, 山水)","mountains and water, landscape, landscape painting",top7/132.mp3
響起,"xiǎngqǐ (響起, 响起)","ring_out,ring out,speak,sound,start to ring",top7/133.mp3
藍色,"lánsè (藍色, 蓝色)","blue,blue color ,blueness",top7/134.mp3
鐘頭,"zhōngtóu (鐘頭, 钟头)",hour,top7/135.mp3
紓解,"shūjiě (紓解, 纾解)","ease,relieve",top7/136.mp3
重,"zhòng (重, 重)","value,put emphasis/stress on",top7/137.mp3
青,"qīng (青, 青)","nature's color,green,blue,greenish black",top7/138.mp3
急救,"jíjiù (急救, 急救)","first aid,emergency treatment",top7/139.mp3
表決,"biǎojué (表決, 表决)",decide by vote,top7/140.mp3
相差,"xiāngchā (相差, 相差)",differ,top7/141.mp3
探親,"tànqīn (探親, 探亲)","go home to visit one's family,visit family,go to visit one's relatives",top7/142.mp3
阻礙,"zǔài (阻礙, 阻碍)","hinder,block,impede,bar",top7/143.mp3
