key,answer,alt,audio_prompt
我喜歡繁體字,I like traditional characters,wǒ xǐhuān fántǐ zì,convo1/1.mp3
我不喜歡簡體字,I do not like simplified characters,wǒ bù xǐhuān jiǎntǐzì,convo1/2.mp3
我覺得繁體字比簡體字漂亮,I think traditional is more beautiful,wǒ juédé fántǐ zì bǐ jiǎntǐzì piàoliang,convo1/3.mp3
例如：「蘭」簡化為「兰」,For example: orchid,Lìrú: Lán jiǎnhuà wéi lán,convo1/4.mp3
我是指蘭花的蘭,I mean the Lan in orchid,Wǒ shì zhǐ lánhuā de lán,convo1/5.mp3
在幹嘛？,What are you doing?,zài gàn ma?,convo1/6.mp3
或許吧,Probably,Huòxǔ ba,convo1/7.mp3
我很懶惰,I am lazy,Wǒ hěn lǎnduò,convo1/8.mp3
放鬆,relax,Fàngsōng,convo1/9.mp3
讓我們放鬆一下,Let's relax for awhile,Ràng wǒmen fàngsōng yīxià,convo1/10.mp3
我們今天去放鬆,We are going to relax today,Wǒmen jīntiān qù fàngsōng,convo1/11.mp3
曬太陽,sunbathe,Shài tàiyáng,convo1/12.mp3
瞌睡蟲,sleepyhead,Kēshuì chóng,convo1/13.mp3
我要待在家,I want to stay home,Wǒ yào dài zàijiā,convo1/14.mp3
要去吃饭吗? 好啊!,Eat? Yes!,Yào qù chīfàn ma? Hǎo a!,convo1/15.mp3
要去吃饭吗? 好吧...,Eat? Ok...,Yào qù chīfàn ma? Hǎo ba...,convo1/16.mp3
會做嗎？ 好的。,Will you do it? Ok.,Huì zuò ma? Hǎo de.,convo1/17.mp3
好久沒見,Long time no see,Hǎojiǔ méi jiàn,convo1/18.mp3
雲吞面,Wonton noodles,Yún tūn miàn,convo1/19.mp3
我們今天去Mustafa找吹風機,We went to Mustafa today to find a hair dryer,Wǒmen jīntiān qù Mustafa zhǎo chuīfēngjī,convo1/20.mp3
你應該提醒我買吹風機,You should remind me to buy a hairdryer,Nǐ yīnggāi tíxǐng wǒ mǎi chuīfēngjī,convo1/21.mp3
蛇粉,snake powder,Shé fěn,convo1/22.mp3
我很興奮再次見到你,I am very excited to see you again,Wǒ hěn xīngfèn zàicì jiàn dào nǐ,convo1/23.mp3
你愛好廣泛 多才多藝,Your hobbies are wildly versatile,Nǐ àihào guǎngfàn duōcáiduōyì,convo1/24.mp3
剛起床,Just got up,Gāng qǐchuáng,convo1/25.mp3
楊桃,Starfruit,Yángtáo,convo1/26.mp3
鱷梨汁,Avocado juice,È lí zhī,convo1/27.mp3
酪梨汁,Avocado juice,Lào lí zhī,convo1/28.mp3
我應該打電話給我的媽媽,I should call my mom,Wǒ yīnggāi dǎ diànhuà gěi wǒ de māmā,convo1/29.mp3
好主意她會很高興的,Good idea.. she will be very happy,Hǎo zhǔyì tā huì hěn gāoxìng de,convo1/30.mp3
妳可以和我練習英文,You can practice English with me,Nǎi kěyǐ hé wǒ liànxí yīngwén,convo1/31.mp3
我喜歡塔羅牌,I like tarot cards,Wǒ xǐhuān tǎ luó pái,convo1/32.mp3
我每天都應該練習寫字,I should practice writing every day,Wǒ měitiān dōu yīnggāi liànxí xiě zì,convo1/33.mp3
我想起來了,It'll come to me,Wǒ xiǎng qǐláile,convo1/34.mp3
我記得啦！,I remember!,Wǒ jìdé la!,convo1/35.mp3
晚點見,See you later,Wǎndiǎn jiàn,convo1/36.mp3
那我先放東西在你家,Then I'll put things in your home first,Nà wǒ xiān fàng dōngxī zài nǐ jiā,convo1/37.mp3
倒數第二,Second to last,Dàoshǔ dì èr,convo1/38.mp3
無糖,No sugar,Wú táng,convo1/39.mp3
我看上去像斑馬一樣,I look like a zebra,Wǒ kàn shàngqù xiàng bānmǎ yīyàng,convo1/40.mp3
現在很癢,Now it's itchy,Xiànzài hěn yǎng,convo1/41.mp3
調皮,Naughty,Tiáopí,convo1/42.mp3
我要死了,I'm dying,Wǒ yàosǐle,convo1/43.mp3
親吻和擁抱,Kisses and hugs,Qīnwěn hé yǒngbào,convo1/44.mp3
如何,how is it,Rúhé,convo1/45.mp3
我很傷心因為,I'm sad because,Wǒ hěn shāngxīn yīnwèi,convo1/46.mp3
我不可以吃甜點,I can't eat sweets,Wǒ bù kěyǐ chī tiándiǎn,convo1/47.mp3
我不在乎,I don't care!,Wǒ bùzàihū,convo1/48.mp3
不感興趣,not interested,Bùgǎn xìngqù,convo1/49.mp3
福星高照,Lucky sign (fortune star tall image),fúxīng gāo zhào,convo1/50.mp3
為什麼這麼熱?,Why is it so hot?,wèishéme zhème rè?,convo1/51.mp3
休息,to rest,Xiūxí,convo1/52.mp3
那很簡單,that was easy,nà hěn jiǎndān,convo1/53.mp3
