key,answer,alt,audio
你最近還好嗎?,How are you getting along?,Nǐ zuìjìn hái hǎo ma?,hello/1.mp3
你感覺怎麽樣?,How do you feel?,nǐ gǎnjué zěnme yàng?,hello/2.mp3
你為什麼來這裡?,why are you here?,nǐ wèishéme lái zhèlǐ,hello/3.mp3
關你屁事,not your business,Guān nǐ pì shì,hello/4.mp3
我喜歡旅行,I like to travel,Wǒ xǐhuan lǚxíng,hello/5.mp3
我愛這裡,I love it here,Wǒ ài zhèlǐ,hello/6.mp3
這裡很美,it's beautiful here,Zhèlǐ hěn měi,hello/7.mp3
你去過哪裡?,where have you been?,Nǐ qùguò nǎlǐ?,hello/8.mp3
你是做甚麼的?,what is your job?,Nǐ shì zuò shénme de?,hello/9.mp3
這是你第一次來這裡嗎?,is this your first time here?,Zhè shì nǐ dì yī cì lái zhèlǐ ma?,hello/10.mp3
你幾歲?,how old are you?,Nǐ jǐ suì?,hello/11.mp3
你的工作是甚麼?,what is your job?,Nǐ de gōngzuò shì shénme?,hello/12.mp3
你想要吃甚麼?,what do you want to eat?,Nǐ xiǎng yào chī shénme?,hello/13.mp3
你的興趣是甚麼?,what do you like to do?,Nǐ de xìngqù shì shénme?,hello/14.mp3
我在放長假,I'm having a long vacation,Wǒ zài fàng chángjià,hello/15.mp3
你沒事都在幹嘛?,what do you do in your free time?,Nǐ méishì dōu zài gàn ma?,hello/16.mp3
你很忙嗎?,Are you busy?,Nǐ hěn máng ma?,hello/17.mp3
對我很忙,Yes I am busy,Duì wǒ hěn máng,hello/18.mp3
你去哪裡,where are you going?,Nǐ qù nǎlǐ?,hello/19.mp3
我去學校,I'm going to school,Wǒ qù xuéxiào,hello/20.mp3
你累嗎？,Are you tired?,Nǐ lèi ma?,hello/21.mp3
我很累,I'm very tired,Wǒ hěn lèi,hello/22.mp3
你好你叫什麼名字?,Hello what is your name?,Nǐ hǎo nǐ jiào shénme míngzì?,hello/23.mp3
我叫李麗你呢?,My name is Li li and you?,Wǒ jiào lǐ lì nǐ ne?,hello/24.mp3
